route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
3,2021_09_13-DX-MVS-Weekday-08,964460,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964541,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964467,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964527,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964464,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964537,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964468,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964538,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964469,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964535,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964470,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964525,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964471,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964530,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964466,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964536,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964487,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964544,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964497,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964539,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964500,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964546,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964502,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964540,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964494,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964545,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964482,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964542,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964498,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964547,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964485,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964523,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964503,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964532,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964474,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964553,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964496,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964549,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964501,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964554,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964480,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964524,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964475,Richmond,0,,964518_shp,,1,1
